iter	Passed	Remaining
1001	2880	2006
1002	2882	2003
1003	2885	2000
1004	2887	1997
1005	2890	1994
1006	2893	1991
1007	2896	1988
1008	2898	1985
1009	2901	1982
1010	2904	1979
1011	2906	1976
1012	2909	1973
1013	2911	1969
1014	2913	1966
1015	2916	1963
1016	2918	1960
1017	2921	1957
1018	2924	1954
1019	2927	1951
1020	2930	1948
1021	2932	1945
1022	2935	1942
1023	2938	1940
1024	2941	1937
1025	2944	1934
1026	2946	1931
1027	2949	1928
1028	2952	1925
1029	2955	1922
1030	2958	1919
1031	2963	1918
1032	2972	1919
1033	2980	1919
1034	2984	1917
1035	2990	1916
1036	2995	1914
1037	3000	1913
1038	3005	1912
1039	3010	1910
1040	3015	1909
1041	3019	1906
1042	3022	1903
1043	3027	1902
1044	3032	1900
1045	3037	1899
1046	3042	1897
1047	3047	1895
1048	3051	1893
1049	3054	1890
1050	3060	1889
1051	3065	1888
1052	3070	1886
1053	3076	1885
1054	3079	1882
1055	3083	1880
1056	3089	1879
1057	3094	1877
1058	3099	1876
1059	3104	1874
1060	3109	1872
1061	3114	1871
1062	3120	1869
1063	3125	1868
1064	3129	1865
1065	3132	1863
1066	3137	1861
1067	3142	1859
1068	3147	1857
1069	3152	1856
1070	3158	1854
1071	3162	1852
1072	3168	1851
1073	3173	1849
1074	3178	1847
1075	3183	1846
1076	3189	1844
1077	3194	1843
1078	3199	1841
1079	3204	1839
1080	3210	1838
1081	3214	1836
1082	3221	1835
1083	3226	1833
1084	3231	1831
1085	3237	1830
1086	3242	1828
1087	3247	1826
1088	3252	1824
1089	3256	1822
1090	3259	1819
1091	3264	1817
1092	3270	1816
1093	3275	1814
1094	3280	1812
1095	3284	1809
1096	3287	1807
1097	3292	1805
1098	3298	1803
1099	3302	1801
1100	3307	1799
1101	3313	1797
1102	3318	1796
1103	3322	1793
1104	3329	1792
1105	3335	1791
1106	3340	1789
1107	3345	1787
1108	3350	1785
1109	3355	1783
1110	3360	1781
1111	3364	1778
1112	3368	1776
1113	3372	1774
1114	3378	1772
1115	3383	1770
1116	3388	1768
1117	3391	1765
1118	3395	1763
1119	3401	1761
1120	3406	1759
1121	3411	1757
1122	3417	1755
1123	3422	1753
1124	3426	1751
1125	3432	1749
1126	3437	1747
1127	3442	1745
1128	3450	1744
1129	3455	1743
1130	3460	1741
1131	3466	1739
1132	3471	1737
1133	3477	1735
1134	3482	1733
1135	3487	1731
1136	3492	1729
1137	3495	1726
1138	3499	1723
1139	3502	1720
1140	3506	1717
1141	3510	1715
1142	3516	1713
1143	3520	1711
1144	3523	1708
1145	3528	1705
1146	3533	1703
1147	3537	1701
1148	3543	1699
1149	3548	1697
1150	3553	1695
1151	3559	1693
1152	3564	1690
1153	3568	1688
1154	3573	1686
1155	3577	1683
1156	3581	1680
1157	3586	1678
1158	3591	1676
1159	3595	1673
1160	3600	1671
1161	3606	1669
1162	3611	1667
1163	3616	1665
1164	3620	1662
1165	3624	1659
1166	3630	1658
1167	3635	1656
1168	3640	1653
1169	3645	1651
1170	3650	1649
1171	3654	1646
1172	3657	1643
1173	3663	1641
1174	3668	1639
1175	3672	1636
1176	3677	1634
1177	3683	1632
1178	3688	1629
1179	3691	1626
1180	3694	1623
1181	3696	1620
1182	3699	1616
1183	3702	1613
1184	3704	1610
1185	3707	1606
1186	3710	1603
1187	3712	1600
1188	3715	1596
1189	3718	1593
1190	3721	1590
1191	3723	1587
1192	3726	1583
1193	3729	1580
1194	3732	1577
1195	3734	1573
1196	3737	1570
1197	3740	1567
1198	3743	1564
1199	3745	1560
1200	3748	1557
1201	3751	1554
1202	3754	1550
1203	3756	1547
1204	3759	1544
1205	3761	1540
1206	3764	1537
1207	3767	1534
1208	3769	1530
1209	3772	1527
1210	3774	1524
1211	3777	1521
1212	3780	1517
1213	3783	1514
1214	3787	1511
1215	3790	1508
1216	3793	1505
1217	3796	1502
1218	3799	1499
1219	3802	1495
1220	3804	1492
1221	3807	1489
1222	3809	1485
1223	3812	1482
1224	3815	1479
1225	3817	1476
1226	3820	1472
1227	3823	1469
1228	3825	1466
1229	3828	1462
1230	3831	1459
1231	3833	1456
1232	3836	1452
1233	3838	1449
1234	3841	1446
1235	3844	1443
1236	3846	1439
1237	3849	1436
1238	3851	1433
1239	3854	1429
1240	3857	1426
1241	3860	1423
1242	3862	1420
1243	3865	1416
1244	3868	1413
1245	3870	1410
1246	3873	1407
1247	3875	1403
1248	3878	1400
1249	3880	1397
1250	3883	1393
1251	3886	1390
1252	3889	1387
1253	3891	1384
1254	3897	1381
1255	3902	1379
1256	3907	1377
1257	3913	1374
1258	3918	1372
1259	3923	1370
1260	3927	1367
1261	3929	1363
1262	3932	1360
1263	3935	1357
1264	3937	1354
1265	3940	1350
1266	3943	1347
1267	3946	1344
1268	3949	1341
1269	3952	1338
1270	3956	1335
1271	3958	1332
1272	3961	1328
1273	3963	1325
1274	3970	1323
1275	3974	1320
1276	3977	1317
1277	3982	1315
1278	3985	1311
1279	3988	1308
1280	3991	1305
1281	3994	1302
1282	3996	1299
1283	4000	1295
1284	4002	1292
1285	4005	1289
1286	4007	1286
1287	4010	1282
1288	4013	1279
1289	4016	1276
1290	4018	1273
1291	4021	1269
1292	4024	1266
1293	4026	1263
1294	4029	1260
1295	4031	1256
1296	4034	1253
1297	4036	1250
1298	4039	1247
1299	4042	1243
1300	4045	1240
1301	4047	1237
1302	4050	1234
1303	4053	1230
1304	4055	1227
1305	4058	1224
1306	4061	1221
1307	4063	1217
1308	4066	1214
1309	4068	1211
1310	4071	1207
1311	4073	1204
1312	4076	1201
1313	4078	1198
1314	4081	1194
1315	4084	1191
1316	4086	1188
1317	4089	1185
1318	4091	1181
1319	4094	1178
1320	4097	1175
1321	4099	1172
1322	4102	1169
1323	4104	1165
1324	4107	1162
1325	4110	1159
1326	4112	1155
1327	4115	1152
1328	4117	1149
1329	4120	1146
1330	4123	1143
1331	4126	1140
1332	4129	1136
1333	4131	1133
1334	4134	1130
1335	4137	1127
1336	4139	1123
1337	4142	1120
1338	4144	1117
1339	4147	1114
1340	4150	1111
1341	4152	1107
1342	4155	1104
1343	4157	1101
1344	4160	1098
1345	4163	1094
1346	4165	1091
1347	4168	1088
1348	4171	1085
1349	4173	1082
1350	4176	1078
1351	4179	1075
1352	4181	1072
1353	4184	1069
1354	4187	1066
1355	4189	1062
1356	4192	1059
1357	4195	1056
1358	4198	1053
1359	4200	1050
1360	4204	1047
1361	4209	1044
1362	4214	1042
1363	4220	1039
1364	4226	1037
1365	4231	1034
1366	4236	1032
1367	4241	1029
1368	4246	1026
1369	4252	1024
1370	4257	1021
1371	4263	1019
